frame_number,look_away,look_screen
32,2,29
33,2,30
34,3,30
35,3,31
36,3,32
37,3,33
38,3,34
40,3,36
41,3,37
42,3,38
43,3,39
44,3,40
45,3,41
46,3,42
47,3,43
48,3,44
49,3,45
50,3,47
52,3,48
53,3,49
54,3,50
55,3,51
56,3,52
57,3,53
58,3,54
59,3,55
60,3,56
61,3,58
62,3,59
64,3,60
65,3,61
66,3,62
67,3,63
68,3,64
69,3,65
70,3,66
71,3,67
72,3,68
73,3,69
74,3,71
75,3,72
77,3,73
78,3,74
79,3,75
80,3,76
81,3,77
82,3,78
83,3,79
84,3,80
86,3,82
87,3,83
88,3,84
89,3,85
90,3,86
91,3,87
92,3,88
93,3,89
94,3,90
95,3,92
97,3,93
98,3,94
99,3,95
100,3,96
101,3,97
102,3,98
103,3,100
105,3,101
106,3,102
107,3,103
108,3,104
109,3,105
110,3,106
111,3,107
112,3,109
114,3,110
115,3,111
116,3,112
117,3,113
118,3,114
119,3,115
120,3,117
122,3,118
123,3,119
124,3,120
125,3,121
126,3,122
127,3,123
128,3,124
129,3,125
130,3,126
131,3,127
133,3,129
134,3,130
135,3,131
136,3,132
137,3,133
138,3,134
139,3,135
140,3,136
141,3,137
142,3,138
144,3,140
145,3,141
146,3,142
147,3,143
148,3,144
149,3,145
150,3,146
151,3,147
153,3,149
154,3,150
155,3,151
156,3,152
157,3,153
158,3,154
159,3,155
